[+]	#1
[#16][#6]1[#6][#6]([#16])[#6][#6]1	#SC1CC(S)CC1
[#16][#6]1[#6][#6]([#7])[#6][#6]1	#SC1CC(N)CC1
[#16][#6]1[#6][#6](Cl)[#6][#6]1	#SC1CC(Cl)CC1
[#16][#6]1[#6][#6](Br)[#6][#6]1	#SC1CC(Br)CC1
[#7][#6]1[#6][#6]([#7])[#6][#6]1	#NC1CC(N)CC1
[#7][#6]1[#6][#6](Cl)[#6][#6]1	#NC1CC(Cl)CC1
[#7][#6]1[#6][#6](Br)[#6][#6]1	#NC1CC(Br)CC1
Cl[#6]1[#6][#6](Cl)[#6][#6]1	#ClC1CC(Cl)CC1
Cl[#6]1[#6][#6](Br)[#6][#6]1	#ClC1CC(Br)CC1
Br[#6]1[#6][#6](Br)[#6][#6]1	#BrC1CC(Br)CC1
[#6][#6]1[#6]([#6])[#6][#6][#6]1	#CC1C(C)CCC1
[#6][#6]1[#6]([#8])[#6][#6][#6]1	#CC1C(O)CCC1
[#6][#6]1[#6]([#16])[#6][#6][#6]1	#CC1C(S)CCC1
[#6][#6]1[#6]([#7])[#6][#6][#6]1	#CC1C(N)CCC1
[#6][#6]1[#6](Cl)[#6][#6][#6]1	#CC1C(Cl)CCC1
[#6][#6]1[#6](Br)[#6][#6][#6]1	#CC1C(Br)CCC1
[#8][#6]1[#6]([#8])[#6][#6][#6]1	#OC1C(O)CCC1
[#8][#6]1[#6]([#16])[#6][#6][#6]1	#OC1C(S)CCC1
[#8][#6]1[#6]([#7])[#6][#6][#6]1	#OC1C(N)CCC1
[#8][#6]1[#6](Cl)[#6][#6][#6]1	#OC1C(Cl)CCC1
[#8][#6]1[#6](Br)[#6][#6][#6]1	#OC1C(Br)CCC1
[#16][#6]1[#6]([#16])[#6][#6][#6]1	#SC1C(S)CCC1
[#16][#6]1[#6]([#7])[#6][#6][#6]1	#SC1C(N)CCC1
[#16][#6]1[#6](Cl)[#6][#6][#6]1	#SC1C(Cl)CCC1
[#16][#6]1[#6](Br)[#6][#6][#6]1	#SC1C(Br)CCC1
[#7][#6]1[#6]([#7])[#6][#6][#6]1	#NC1C(N)CCC1
[#7][#6]1[#6](Cl)[#6][#6]1	#NC1C(Cl)CC1
[#7][#6]1[#6](Br)[#6][#6][#6]1	#NC1C(Br)CCC1
Cl[#6]1[#6](Cl)[#6][#6][#6]1	#ClC1C(Cl)CCC1
Cl[#6]1[#6](Br)[#6][#6][#6]1	#ClC1C(Br)CCC1
Br[#6]1[#6](Br)[#6][#6][#6]1	#BrC1C(Br)CCC1
[!#1][CH]([!#1])[!#1]	#[!#1][CH]([!#1])[!#1]
[!#1][CH]([!#1])[CH]([!#1])[!#1]	#
[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]	#
[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]	#
[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]	#
[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]	#
[!#1][CH]([!#1])[CH2][CH2][CH3]	#
[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]	#
[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]	#
[!#1][CH]([!#1])[CH2]C(=O)[!#1]	#
[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]	#
[!#1][CH]([!#1])[CH2]C(=O)[CH3]	#
[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]	#
[!#1][CH]([!#1])[CH3]	#
[!#1][CH]([!#1])[N+](=O)[O-]	#
[!#1][CH]([!#1])[NH]C(=O)[!#1]	#
[!#1][CH]([!#1])[OH]	#
[!#1][CH]([!#1])C([!#1])([!#1])[!#1]	#
[!#1][CH]([!#1])C([!#1])([CH3])[CH3]	#
[!#1][CH]([!#1])C(=O)[!#1]	#
[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]	#
[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]	#
[!#1][CH]([!#1])C(=O)[CH3]	#
[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]	#
[!#1][CH]([!#1])C(=O)[OH]	#
[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1	#
[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1	#
[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1	#
[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O	#
[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12	#
[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O	#
[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F	#
[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]	#
[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]	#
[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1	#
[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1	#
[!#1][CH]([!#1])c1[cH][cH][cH]o1	#
[!#1][CH]([!#1])c1[cH][cH][cH]s1	#
[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1	#
[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]	#
[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]	#
[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]	#
[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]	#
[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1	#
[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl	#
[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][cH]c2O[CH2]Oc2[cH]1	#
[!#1][CH]([!#1])c1[cH][cH]n[cH][cH]1	#
[!#1][CH]([!#1])c1[cH][nH]c2[cH][cH][cH][cH]c12	#
[!#1][CH]([!#1])c1[cH]c([!#1])nn1[!#1]	#
[!#1][CH]([!#1])c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]	#
[!#1][CH]([!#1])c1[cH]c(Br)[cH]c(Br)c1[OH]	#
[!#1][CH]([!#1])C1=C([OH])[CH2]C([CH3])([CH3])[CH2]C1=O	#
[!#1][CH]([!#1])c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12	#
[!#1][CH]([!#1])c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13	#
[!#1][CH]([!#1])c1sc2[cH][cH][cH][cH]c2[n+]1[CH2][CH2][CH2]S(=O)(=O)[OH]	#
[!#1][CH]([!#1])N([!#1])[CH3]	#
[!#1][CH]([!#1])N([!#1])c1[cH][cH][cH][cH][cH]1	#
[!#1][CH]([!#1])N([CH3])[CH3]	#
[!#1][CH]([!#1])N1[CH2][CH2]O[CH2][CH2]1	#
[!#1][CH]([!#1])O[CH2][CH2]N([CH3])[CH3]	#
[!#1][CH]([!#1])OC(=O)[!#1]	#
[!#1][CH]([!#1])S(=O)(=O)[!#1]	#
[!#1][CH]([CH]([CH3])[CH3])C(=O)[OH]	#
[!#1][CH]([CH]=[CH]c1[cH][cH]c(Cl)[cH]c1Cl)C([CH3])([CH3])[CH3]	#
[!#1][CH]([CH2][CH2]C(=O)[OH])C(=O)[OH]	#
[!#1][CH]([CH2][CH2]S[CH3])C(=O)[OH]	#
[!#1][CH]([CH2][N+](=O)[O-])SC(=O)[CH3]	#
[!#1][CH]([CH2]C(=N[NH]C(=O)[!#1])[!#1])C(=O)[OH]	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH][cH][cH]1	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c([CH3])[cH]1	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Br)[cH]1	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Cl)[cH]1	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Br)[cH][cH]1	#
[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Cl)[cH][cH]1	#
[!#1][CH]([CH2]C(=O)[NH2])C(=O)[OH]	#
[!#1][CH]([CH2]C(=O)[OH])[NH]C(=O)C(F)(F)F	#
[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]	#
[!#1][CH]([CH3])[CH2][CH3]	#
[!#1][CH]([CH3])[CH3]	#
[!#1][CH]([CH3])[NH]C(=O)[!#1]	#
[!#1][CH]([CH3])[NH]C(=O)[NH][CH2]C(=O)O[CH2][CH3]	#
[!#1][CH]([CH3])[NH]C(=S)[!#1]	#
[!#1][CH]([CH3])[NH]C(=S)[NH]C([!#1])([!#1])[!#1]	#
[!#1][CH]([CH3])[NH]S(=O)(=O)[!#1]	#
[!#1][CH]([CH3])C(=O)[!#1]	#
[!#1][CH]([CH3])C(=O)[OH]	#
[!#1][CH]([CH3])C(=O)O[CH2]C(=O)[!#1]	#
[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1	#
[!#1][CH]([CH3])N([!#1])C(=O)[!#1]	#
[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]	#
[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]	#
[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br	#
[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl	#
[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl	#
[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl	#
[!#1][CH]([NH2])[CH2][CH3]	#
[!#1][CH]([NH2])[CH2]C(=O)[OH]	#
[!#1][CH]([NH2])C(=O)[OH]	#
[!#1][CH]([OH])[CH]([NH2])[CH2][OH]	#
[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]	#
[!#1][CH]([OH])[CH2][NH2]	#
[!#1][CH]([OH])[CH2][OH]	#
[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]	#
[!#1][CH]([OH])C(Cl)(Cl)Cl	#
[!#1][CH]([OH])C(F)(F)F	#
[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1	#
[!#1][CH](C(=O)[CH3])C(=O)[CH3]	#
[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]	#
[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]	#
[!#1][CH](F)C(F)(F)F	#
[!#1][CH](F)OC(F)(F)F	#
[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]	#
[!#1][CH]=[CH][!#1]	#
[!#1][CH]=[CH][CH]([!#1])C([CH3])([CH3])[CH3]	#
[!#1][CH]=[CH][CH]=C1SC(=S)N([!#1])C1=O	#
[!#1][CH]=[CH][CH]=N[!#1]	#
[!#1][CH]=[CH][CH]=N[NH]C(=O)[!#1]	#
[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[!#1]	#
[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[CH3]	#
[!#1][CH]=[CH]C(=O)[!#1]	#
[!#1][CH]=[CH]C(=O)[NH][NH]C(=O)[!#1]	#
[!#1][CH]=[CH]C(=O)[NH]C(=S)[!#1]	#
[!#1][CH]=[CH]C(=O)[OH]	#
[!#1][CH]=[CH]N([!#1])[CH3]	#
[!#1][CH]=[CH2]	#
[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[!#1]	#
[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]	#
[!#1][CH]=C(C#N)C#N	#
[!#1][CH]=C(C#N)C(=O)[NH2]	#
[!#1][CH]=C(C#N)C(=O)O[CH2][CH3]	#
[!#1][CH]=C(Cl)Cl	#
[!#1][CH]=C1[CH2]N([!#1])[CH2]C(=[CH][!#1])C1=O	#
[!#1][CH]=c1[nH]c(=O)c(=[CH][!#1])[nH]c1=O	#
[!#1][CH]=C1C(=NN(C1=O)c2[cH][cH]c([!#1])[cH][cH]2)[!#1]	#
[!#1][CH]=C1C(=O)[NH]C(=O)[NH]C1=O	#
[!#1][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O	#
[!#1][CH]=C1C(=O)[NH]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23	#
[!#1][CH]=C1C(=O)c2[cH][cH][cH][cH]c2C1=O	#
[!#1][CH]=C1C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3	#
[!#1][CH]=C1C(=O)OC([!#1])([CH3])OC1=O	#
[!#1][CH]=C1N=C(OC1=O)c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]=C1OC(=O)c2c1[cH]c([!#1])[nH]c2=O	#
[!#1][CH]=C1SC(=N[!#1])[NH]C1=O	#
[!#1][CH]=C1SC(=O)N([!#1])C1=O	#
[!#1][CH]=C1SC(=S)[NH]C1=O	#
[!#1][CH]=C1SC(=S)N([!#1])C1=O	#
[!#1][CH]=C1SC(=S)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2	#
[!#1][CH]=N[!#1]	#
[!#1][CH]=N[CH]([!#1])[CH3]	#
[!#1][CH]=N[CH2][CH2][CH2][CH2][CH2][CH2]N=[CH][!#1]	#
[!#1][CH]=N[CH2][CH2][NH]C(=O)[!#1]	#
[!#1][CH]=N[CH2][CH2]N=[CH][!#1]	#
[!#1][CH]=N[NH]C(=[NH])[NH][N+](=O)[O-]	#
[!#1][CH]=N[NH]C(=[NH])[NH2]	#
[!#1][CH]=N[NH]C(=O)[!#1]	#
[!#1][CH]=N[NH]C(=O)[CH]([!#1])[CH3]	#
[!#1][CH]=N[NH]C(=O)[CH]([!#1])[NH]C(=O)[!#1]	#
[!#1][CH]=N[NH]C(=O)[CH]([!#1])[OH]	#
[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH]([CH3])[OH]	#
[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]	#
[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH3]	#
[!#1][CH]=N[NH]C(=O)[CH2][NH]C(=O)[!#1]	#
[!#1][CH]=N[NH]C(=O)[CH2][OH]	#
[!#1][CH]=N[NH]C(=O)[CH2]C(=O)[NH]N=[CH][!#1]	#
[!#1][CH]=N[NH]C(=O)[NH2]	#
[!#1][CH]=N[NH]C(=O)C(=O)[NH]N=[CH][!#1]	#
[!#1][CH]=N[NH]C(=O)O[CH2][CH3]	#
[!#1][CH]=N[NH]C(=S)[NH2]	#
[!#1][CH]=N[NH]C(=S)S[CH3]	#
[!#1][CH]=N[NH]S(=O)(=O)[!#1]	#
[!#1][CH]=N[OH]	#
[!#1][CH]=NC(=N[NH]C(=O)[!#1])[!#1]	#
[!#1][CH]=NN([!#1])[CH3]	#
[!#1][CH]=NN=[CH][!#1]	#
[!#1][CH]=NOC(=O)[!#1]	#
[!#1][CH]=O	#
[!#1][CH]1[CH]([!#1])[CH]2[CH2][CH]1[CH]=[CH]2	#
[!#1][CH]1[CH]([!#1])[CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24	#
[!#1][CH]1[CH]([CH]2[CH2][CH]1[CH]=[CH]2)C(=O)[OH]	#
[!#1][CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]	#
[!#1][CH]1[CH]([OH])O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]	#
[!#1][CH]1[CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2][CH]1[CH2]3	#
[!#1][CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12	#
[!#1][CH]1[CH]2S[CH2]C1([!#1])[CH2][CH2][CH]2[!#1]	#
[!#1][CH]1[CH2][CH]([CH3])[CH2][CH2][CH]1[CH]([CH3])[CH3]	#
[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1[!#1]	#
[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1C(=O)[OH]	#
[!#1][CH]1[CH2][CH]1[!#1]	#
[!#1][CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[!#1]	#
[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[CH3]	#
[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]1[CH2]2	#
[!#1][CH]1[CH2][CH]2[CH2][CH2]N1[CH2][CH]2[CH]=[CH2]	#
[!#1][CH]1[CH2][CH2][CH]([!#1])[CH]([!#1])[CH2]1	#
[!#1][CH]1[CH2][CH2][CH]([!#1])[CH2][CH2]1	#
[!#1][CH]1[CH2][CH2][CH]([CH2][CH2]1)C([CH3])([CH3])[CH3]	#
[!#1][CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][NH][CH]2[CH2]1	#
[!#1][CH]1[CH2][CH2][CH2][CH]([!#1])N1[!#1]	#
[!#1][CH]1[CH2][CH2][CH2][CH2][CH]1[!#1]	#
[!#1][CH]1[CH2][CH2][CH2][CH2][CH2][CH2][CH2]1	#
[!#1][CH]1[CH2][CH2][CH2][CH2][CH2]1	#
[!#1][CH]1[CH2][CH2][CH2][CH2][NH]C1=O	#
[!#1][CH]1[CH2][CH2][CH2][CH2]1	#
[!#1][CH]1[CH2][CH2][CH2][CH2]C1=O	#
[!#1][CH]1[CH2][CH2][CH2][CH2]N1[!#1]	#
[!#1][CH]1[CH2][CH2][CH2]C1=N[NH]C(=S)[NH2]	#
[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([!#1])[cH]c23	#
[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([cH]c23)c4[cH][cH][cH][cH][cH]4	#
[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([CH3])[cH]c23	#
[!#1][CH]1[CH2][CH2][CH2]N([!#1])[CH2]1	#
[!#1][CH]1[CH2][CH2][CH2]N1[!#1]	#
[!#1][CH]1[CH2][CH2][CH2]O1	#
[!#1][CH]1[CH2][CH2][NH][CH2][CH2]1	#
[!#1][CH]1[CH2][CH2][NH]C(=O)[NH]1	#
[!#1][CH]1[CH2][CH2]1	#
[!#1][CH]1[CH2][CH2]C([!#1])(C(=O)[OH])C1([!#1])[CH3]	#
[!#1][CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]	#
[!#1][CH]1[CH2][CH2]c2c([!#1])c([!#1])sc2C1=O	#
[!#1][CH]1[CH2][CH2]N([!#1])[CH2][CH2]1	#
[!#1][CH]1[CH2][CH2]OC1=O	#
[!#1][CH]1[CH2][CH2]S(=O)(=O)[CH2]1	#
[!#1][CH]1[CH2][NH]c2[cH][cH][cH][cH]c12	#
[!#1][CH]1[CH2]C([!#1])([CH]([!#1])[CH2]N1[!#1])c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]1[CH2]C([!#1])([CH3])[NH]C([!#1])([CH3])[CH2]1	#
[!#1][CH]1[CH2]C([CH3])([CH3])[NH]C([CH3])([CH3])[CH2]1	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c([!#1])[cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c(Cl)[cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Br)[cH][cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Cl)[cH][cH]2	#
[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(O[CH3])[cH][cH]2	#
[!#1][CH]1[CH2]C(=O)N(N([CH3])[CH3])C1=O	#
[!#1][CH]1[CH2]C(=O)O[CH]1c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]1[CH2]C1([!#1])[CH3]	#
[!#1][CH]1[CH2]C1([CH3])[CH3]	#
[!#1][CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3	#
[!#1][CH]1[CH2]C1(c2[cH][cH]c([!#1])[cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3	#
[!#1][CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3	#
[!#1][CH]1[CH2]C2([!#1])[CH2]C([!#1])([CH2][CH]([!#1])C2=O)C1=O	#
[!#1][CH]1[CH2]c2[cH][cH][cH]c3[cH][cH][cH]c1c23	#
[!#1][CH]1[CH2]C21[CH2][CH2][CH2]2	#
[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([!#1])[NH]1	#
[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([NH]1)c4[cH][cH]c([!#1])[cH][cH]4	#
[!#1][CH]1[CH2]N2[CH2][CH2][CH]1[CH2][CH]2[!#1]	#
[!#1][CH]1[CH2]O[CH]([!#1])O1	#
[!#1][CH]1[CH2]O1	#
[!#1][CH]1[CH2]OC([!#1])([CH3])O1	#
[!#1][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1	#
[!#1][CH]1[CH2]Oc2[cH][cH][cH][cH]c2O1	#
[!#1][CH]1[CH2]S(=O)(=O)[CH]=[CH]1	#
[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[!#1]	#
[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[OH]	#
[!#1][CH]1[CH2]S[CH]([NH]1)c2[cH][cH]c([!#1])[cH][cH]2	#
[!#1][CH]1[CH2]S[CH](N1[!#1])c2[cH][cH]c([!#1])[cH][cH]2	#
[!#1][CH]1[CH2]S[CH2][CH]1[!#1]	#
[!#1][CH]1[NH][CH2][CH2]n2[cH][cH][cH]c12	#
[!#1][CH]1[NH]c2[cH][cH][cH][cH]c2[NH]C1=O	#
[!#1][CH]1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]	#
[!#1][CH]1C(=NN(C1=O)c2c([!#1])c([!#1])c([!#1])c([!#1])c2[!#1])[!#1]	#
[!#1][CH]1C(=NN(C1=O)c2c(F)c(F)c(F)c(F)c2F)[CH3]	#
[!#1][CH]1C(=O)[CH2]C([!#1])([CH3])[CH2]C1=O	#
[!#1][CH]1C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O	#
[!#1][CH]1C(=O)[NH]C(=O)[NH]C1=O	#
[!#1][CH]1C(=O)c2[cH][cH][cH][cH]c2C1=O	#
[!#1][CH]1c2[cH][cH][cH][cH]c2-c3[cH][cH][cH][cH]c13	#
[!#1][CH]1c2[cH][cH][cH][cH]c2Oc3[cH][cH][cH][cH]c13	#
[!#1][CH]1N([!#1])[CH2][CH2]c2[cH][cH][cH][cH]c12	#
[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23	#
[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH]c([!#1])c([!#1])[cH]2	#
[!#1][CH]1N(C(=O)N([!#1])C1([CH3])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23	#
[!#1][CH]1N2[CH2][CH2][CH]([CH2][CH2]2)C1=O	#
[!#1][CH]1O[CH]([!#1])[CH]([!#1])[CH]([!#1])[CH]1[!#1]	#
[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH][cH]c(=O)[nH]c2=O	#
[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH]nc3c([!#1])n[cH]nc23	#
[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH]	#
[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]	#
[!#1][CH]1O[CH]([CH3])[CH]([OH])[CH]([OH])[CH]1[OH]	#
[!#1][CH]1O[CH2][CH2]O[CH]1[!#1]	#
[!#1][CH]1OC([!#1])([CH3])O[CH]1[!#1]	#
[!#1][CH]1S(=O)(=O)[CH2][CH]([CH2]S1(=O)=O)c2[cH][cH][cH][cH][cH]2	#
[!#1][CH]1S(c2[cH][cH][cH][cH]c2[NH]C1=O)	# [!#1][CH]1Sc2[cH][cH][cH][cH]c2[NH]C1=O
[!#1][CH2][!#1]	#
[!#1][CH2][CH]([!#1])[!#1]	#
[!#1][CH2][CH]([!#1])[CH3]	#
[!#1][CH2][CH]([!#1])[OH]	#
[!#1][CH2][CH]([!#1])C#[CH]	#
[!#1][CH2][CH]([!#1])C(=O)[!#1]	#
[!#1][CH2][CH]([!#1])C(=O)[NH][!#1]	#
[!#1][CH2][CH]([!#1])C(=O)[OH]	#
[!#1][CH2][CH]([!#1])C(=O)O[CH2][CH3]	#
[!#1][CH2][CH]([CH2][CH3])[NH]C(=O)[!#1]	#
[!#1][CH2][CH]([CH3])[CH3]	#
[!#1][CH2][CH]([CH3])[NH][CH2]C(=O)[NH][!#1]	#
[!#1][CH2][CH]([CH3])[NH]C(=O)[!#1]	#
[!#1][CH2][CH]([CH3])[NH2]	#
[!#1][CH2][CH]([CH3])[OH]	#
[!#1][CH2][CH]([CH3])O[!#1]	#
[!#1][CH2][CH]([CH3])S[CH2][CH3]	#
[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[NH][!#1]	#
[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH]	#
[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH2][CH3]	#
[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH3]	#
[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)[OH]	#
