18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
9661	8	[CX4][CH1]([CX3][NX3])[NH1][CX4]	O=C(N)C1NCCC1	CCNC(C(=O)NC)CS	O=C1N(CCC1NCC=2OC=CC2)C=3C=CC=CC3
9662	12	O=[CH0](N[CH1]([#6])[#6])[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1	CC(C)NC(=O)C=1C=CC=CC1	O=C(NC(C)C=1C=CC=CC1)C=2C=CC=CC2
9663	9	O=[CH0]([CH1]([#7])[CH3])N[CH2][CH2][#6]	O=C(NCCC)C(N)C	NC(C(=O)NCCC=1C=CC=CC1)C
9664	9	[CH3][CH0](=[CX3])[CX4]([CH2][CX4][OH1])	OC(C)CCC(=CC)C	CC=1CC(C)(O)CC(O)C1C	CC=1CC(O)CCC1C
9665	14	[cX3](a)[cH0]([cX3](a)-[cH0]1[cH1][cX3]([cX3]([cH1][cH1]1)))[CH3]	CC1=CC=CC(C=2C=CC=CC2)=C1C	O=C1OC(=C)C(=C)C(=C1C=2C=CC(O)=C(O)C2)C	CC1=NN(C)C(C=2C=CC(I)=CC2)=C1C
9666	8	[CX4]([CH3])[CX4]([CX3](=[OH0]))[OH1]	O=C(C)C(O)C(O)C	O=C1CCC(C)(C)C1O	CC(O)(C(O)=O)CC
9667	18	[CX3](a)(=[OH0])[NH1][cH0]([cX3]a)[cH1][cX3]([cX3]a)	O=C(NC=1C=CC=2NC=CC2C1)C=3C=CC=CC3	O=C1NC=2C=CC=CC2C3=NC(=C)C(=C)C(=O)N3C=4C(O)=CC=CC14	O=C(NC1=CC=C(F)C=C1C=2C=CC(Cl)=C(Cl)C2)C3=CN(N=C3C)C
9668	12	[cX3](a)[cH0]([cX3](a)[CH0](=[OH0])[OX2])[OH0][CH3]	CC1=CC=CC(C(=O)O)=C1OC	CC=1C(=C)C(=C)C(OC)=C2C(=O)OCC12	O=C(OC)C=1N=C(Cl)N=C(Cl)C1OC
9669	11	[NX3][cH0]1[cH1][cH1][cH0]([cH1][cH1]1)[OH0][CX4]([CX4])	CNC1=CC=C(OCC)C=C1	OC(C)COC1=CC=C(C=C1)N(C)C	NCCOC1=CC=C(N)C=C1
9670	8	[CX4]([CH1]([CH0](=[OH0])[OH1])[NX3])[OH1]	CNC(C(=O)O)CO	CN(C)C(C(=O)O)C(O)C	CNC(C(=O)O)C(O)C
9671	9	[cX3](a)[cH0]([cH1][cX3]a)[CX4][NH2]	CC=1C=CC=CC1CN	FC=1C=C(C(Cl)=CC1Cl)C(N)C	CC(C)(N)C=1C=CC(=O)NC1C
9672	11	[CX4]([CH2][OH0][cH0]1[cH1][cH1][cH0]([cH1][cH1]1)[CX4])	SCCOC1=CC=C(C=C1)C	FC(F)(F)C1=CC=C(OCC(O)C)C=C1	CC(C1=CC=C(OCC2OC2)C=C1)(C)C
9673	7	[#6][CH1]1[#6][CH2][CH1]([#6])N1	CC1NC(CC1)C	C1=CC2NC1CC2	N1C(C)CCC1C=2C=CC=CC2
9674	10	[CX4]([OH0][CX3](=[OH0]))[cX3]([cX3]a)a	O=C(N)OCC=1SC=NC1	O=C1OC(O)C2=C(O)C(O)=C(C)C(O)=C12	O=C1OC2(CNC=3C=CC=CC32)CC1
9675	21	O[CH1]1[CH1]([CH1]([CH1](O[cH0](:[cH0](:[cH1]:[#6])O[CH3]):[#6])O[CH1]1[CH2]O)O)O	OC1C(OC2=CC=C(C)C=C2OC)OC(CO)C(O)C1O	CC1=C(O)C(OC2OC(CO)C(O)C(O)C2O)=C(OC)C=C1C	OC=1C=C(C)C=C(OC)C1OC2OC(CO)C(O)C(O)C2O
9676	8	[CX4][CX4][CH1]([CX3](=[OH0]))[NX3]	O=C(N)C(N)CCC	CNC1C(=O)OCC1	CN1CSC(C)(C)C1C(=O)O
9677	5	NN([CH2][#6])[#6]	CN(N)CC	CN(N)CC=1C=CC=CC1	NN(C=1C=CC=CC1)CC
9678	11	[CH3][OH0][cH0]1[cH0]([cH1][cX3]([cH1][cH1]1))[OH0][CH3]	CC1=CC=C(OC)C(OC)=C1
9679	9	[CX4]([CX4]([CX4]))([CX4][OH0][PX4](=[OH0]))	O=P(O)(C)OCCCC	O=P1(O)OCC2OCC(O)C2O1	OC1CCC(OP(=O)(S)O)C(O)C1O
9680	9	O=[CH0](O[CH2][CH0](=[CH1][#6])[#6])[#6]	O=C(OCC(C)=CC)C	CC1=CCCC(=O)OC1	O=C(OCC(C)=CC)C=1C=CC=CC1
9681	5	[CX4][CH0](=[OH0])[NH2]	O=C(N)CC	O=C(N)C(C)(C=1C=CC=CC1)C=2C=CC=CC2	O=C(N)C(C)O
9682	13	[cX3](a)([cH1][nH0][cX3](a)a)[CH0](=[OH0])[OH1]	O=C(O)C=1C=NC2=NC=CC=C2C1	NC=1C(F)=C(N)C=2C(=O)C(=CN(C)C2C1F)C(=O)O	O=C(O)C=1C=NN(C1)C2=NC(=C)C(=C)N2
9683	10	[CX3](=[CX3][CH0]([CX4]([CX4]))([CH3])[CH3])	CC=C1CCCCC1(C)C	CC(O)(C)C(N)(N)C(C=C)(C)C
9684	11	[CH3]O[cH0]1:[#6](:[#6]:[cH1]:[cH0](:[cH1]1)[CH0](=O)[#7])	O=C(N)C=1C=CC=C(OC)C1	NC(=O)C1=CC(N)=C(O)C(OC)=C1	NC(=O)C1=CC=C(Br)C(OC)=C1
9685	6	[CH2]([CX4]([CX4][CX4]))[CX4]	CCCCCC	C1CCCCC1	CC1CC2NC(CC=3C=4C=CC=CC4NC32)C1C
9686	11	[cX3]1[cH1][cH0]2[cH0]([cH1][cX3]1)[OH0][CH2][CH2][OH0]2	CC1=CC=C2OCCOC2=C1	NC=1C=C2OCCOC2=CC1N
9687	10	[#8]=[CH0]([cH0]1:[cH1]:[cH1]:[cH0]([#8]):[cH1]:[cH1]1)[#8]	OC(=O)C1=CC=C(O)C=C1
9688	19	[CX4]([OH0][CX4][OH0][CH1]1[CH1]([OH0][CX4]([CH1]([CH1]1[OH1])[OH1]))[CH2][OH1])[CH2][OH1]	OC1OC(CO)C(OC(C)OC(C)CO)C(O)C1O
9689	14	O[CH1]([CH1]([#6])O[CH0](=O)[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1)[#6]	O=C(OC(C)C1CO1)C=2C=CC=CC2	CC(OC(=O)C=1C=CC=CC1)C(O)C
9690	9	[CH3][CX4]([CX4]([CX4][CH2][CH1]([CH3])[CH3]))	CC(C)CCCC(C)C	CC(C)C(C)C(N)CC(C)C	CC(O)(C)C(O)CCC(C)C
9691	9	O=[CH0]1[CH2][CH1]([CH1]([#6])[CH1]1[#6])[#8]	O=C1CC(O)C(C)C1C
9692	15	[CX4][OH0][cH0]([cX3]([cX3](a)a)a)[cH1][cX3]a	NC=1NC=C(C1C)C=2C=CC=CC2OC	OC1=C(O)C=C2C=3C=4C(OCC13)=CC(O)=CC4CC2	C=C1C(=C)C=2C=C(O)C=3C=CC=C(OC(O)C)C3C2OC1=O
9693	7	[CX4]([SX2])[CX4][NH1][CX3](=[OH0])	O=C(C)NCCS	O=C1NC2CSCC2N1	CC(NC(O)=O)CSC
9694	14	[OX2][cH0]([cX3]([CX4])a)[cH0]1[cH1][cH1][cH1][cH1][cX3]1a	CCC=1C(=O)OC=2C=CC=CC2C1O	CC1C=COC=2C=3C=CC=CC3C=CC21	OC1=C2CNCC2=C(OC)C=3C=CC=CC13
9695	9	F[cH0](:[cH0](:[#6])[CH2]N):[#6]	NCC=1C=CC=CC1F	FC=1C=C(F)C(=CC1Cl)CN	CC1=CC=CC(F)=C1CN
9696	6	[CX3][CX4]([FH0])[FH0]	O=CC(F)(F)C	O=C(C)C(F)F	FC(F)(F)C(Cl)=C
9697	13	O[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][#6]	OCCCCCCCCCCCC
9698	9	[CH2]([CX4])[NH0]([CH2][CX4])[CX4][CX3]=[OH0]	O=C(N)CN(CC)CC	O=C1NC2(C)CCC31CCCN3C2	O=C(C)C(C)N1CCOCC1
9699	12	[CX4][CH1]1[CX4][CX4][CH1]([CX4])[CH2][NX3]1	CCC1NCC2CC1CNC2C	CC12C=CC3CC2N(CC1)CC3C(O)C	SCC1CN(C)C2CC3=CNC4=CC=CC(=C43)C2C1
9700	11	O=[CH0]([CH1]1[CH2][CH2][CH2]N1[#6])N[CH2][#6]	CN1CCCC1C(=O)NCC
9701	9	[CX4][CH1]([CX4][CH0](=[OH0])[OH0][CH3])[OX2]	O=C(OC)CC(O)CC	O=C(OC)C(O)(C)C1OCCC1C	COC1C(C)(C)CCC1(C)C(=O)OC
9702	21	O[CH1]1[CH1]([CH1]([CH1](O[cH0](:[#6]):[cH1]:[cH0](O[#6]):[#6])O[CH1]1[CH2]O)O)O	OCC1OC(OC2=CC(OC)=CC=C2C)C(O)C(O)C1O	OCC1OC(OC2=CC=3OCCC3C=C2C)C(O)C(O)C1O	OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=C(OC)C1O
9703	4	[CH1](=[#6])[CH2][#6]	C=CCC
9704	8	[CX4]([CH1]([CX4][CX3](=[OH0]))[OX2])	O=C(C)CC(O)CC	COC1C(C)OC(=O)C1(C)C	O=C(O)C(O)(C)C1OCCC1C
9705	14	[CH3][OH0][cH0]([cH0]([cX3]a)[CX4])[cH1][cX3]a	O(C=1C=CC=2C=CC=CC2C1CC)C	CC=1OC=2C=C(OC)C(=C(O)C2C(=O)C1)C(O)C	CC=1NC=2C=C(OC)C(=CC2C1C)C(C)(O)C
9706	11	[CH3]N([#6])[CH0](=[#8])[CH1]([#6])N[CH0](=O)[#6]	O=C(C)NC(C)C(=O)N(C)C
9707	12	[#8][CH1]([#6])[CH1](O[CH1]([CH1]([#6])N)O[#6])[#6]	COC(OC(C)C(C)O)C(C)N
9708	13	[OX2][CX4][CX4]([CX4]([OX2])a)	OC1COC(C=2C=CC=CC2)C1O	COC(C1=CC(C)=C(O)C=C1O)C(O)C(O)(C)C	NC1=CC=C(C=C1)C(O)C(N)CO
9709	7	[#6][CH1]([CH1]([#6])N)O[#6]	NC1CCOC1C	NC(C=1C=CC=CC1)C(OC)C	CC1N=COC1C
9710	6	[CX3](=[CX3])[NX3][CH3]	CC=C(C)NC	CC1=C(O)C=2C=CC=CC2SN1C	CC(O)=C(C)N(S)C
9711	11	[CH3][cX3]([cH0]([cX3](a))[CH2][CX3](=[OH0]))a	O=C(O)CC1=C(Cl)ON=C1C	O=C(N)CC=1C(=C)C(=C)N(C)C1C	CC=1C=C(C(=C(C1O)C)CC(=O)N)C
9712	8	[CX4]([CH2][NH0]([CH2][CX4])[CH2][CX4])	NCCN(CC)CC	OC(C=1C=CC=CC1)CN2CCCC2	NC1CN2CCC1CC2
9713	10	[CH3][OH0][cH0]1[cH1][cH1][cH1][cH1][cH0]1[CX4]	NCC=1C=CC=CC1OC	OC(C)C=1C=CC=CC1OC	CC(C)(N)C=1C=CC=CC1OC
9714	10	[CX4][CX3][NX3]a	CCC(=O)NC1=NC=CS1	O=C1NC2=CC(F)=C(Br)C=C2CC1	O=C1N(C=2C=CC(Cl)=CC2C=NC1O)C
9715	8	O=[CH0](N([#6])[CH2][#6])[CH2]N	CCN1CNCC1=O	CN(C(=O)CN)CC	NCC(=O)N1C=2C=CC=CC2CC1
9716	8	O=[CH0]([CH1]([CH2][#16])[#7])N[#6]	O=C(NC)C(N)CS
9717	14	[#8][cH0]1:[#6](:[#6]:[cH0]2[CH1]([#7][CH2][CH2][cH0]2:[cH1]1)[CH2][#6])	OC=1C=C2C(=CC1O)CCNC2CC	OC=1C=C2C3=C(C1O)C4=CC=CC=C4CC3NCC2	OC=1C=C2C3=C(C=CCC3NCC2)C1O
9718	3	N([#6])=[#6]	C=NC	C1=NC2=CC=CC=3C=CC=C1C23	C=NC=1C=CC=CC1
9719	9	F[cH0]1:[cX3]:[cH0](:[cX3](:[cX3](:[cX3]1)))[#9]	FC1=CC=CC(F)=C1C	FC=1C(F)=C(N)C(F)=C(F)C1Br	NC=1C=C(F)C=C(F)C1S
9720	14	[CH3][cH0]1:[cH0](:[cH0]2:[cH0](:[#7]1):[cH1]:[cH1]:[cH0](:[cH1]2)O[#6])[CH2][#6]	COC=1C=CC=2NC(=C(C2C1)CC)C	CN1C=2C=CC(OC)=CC2C(=C1C)CC
9721	9	[#6][cH0]1:n:[cH1]:[cH1]:[cH0](:[cH0]1[#6])[#6]	CC1=NC=CC(=C1C)C	CC=1C(=CN2C=CC=3C=C(O)C(O)=CC3C12)C=4C=CC=CC4	N1=CC(C=2C=CN=C3C=CC=CC32)=C(N1)C=4N=CC=CC4
9722	10	[CH2]([#6])N([#6])[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[#6]1	CN1C=2C=CC=CC2CC1	OC=1C=CC=CC1N(C)CC	C1SC=2C=CC=CC2N1CC
9723	7	[NX3]([CX4][CX4]([CX4]([CH3])))[CH3]	CC(NC)CCC	CN(C)C1(C)CCC(C)(C)C1C	CN(C)C(C)C(O)C(N)(O)C
9724	12	[#8]=[CH0](N[cH0](:[#6]):[#6])[CH1]=[CH1][#6]	CC=CC(=O)NC=1C=CC=CC1	NC1=CC=C(C=C1)N2CC=CC2=O	CC=CC(=O)NC=1C=C(SC1C)C=2SC=CC2
9725	5	[CH3][CH1]([CH1]=[#6])[#6]	C=CC(C)C
9726	5	[CH3][CX4][NH1][CH3]	CC(NC)C	CC(NC)C	CC(NC)C
9727	9	[CX3][cX3](a)[cX3]([cH0]([cX3]a)[OH1])	C=CC=1C=CC=C(O)C1	CC(=O)C1=C(C)C(O)=C(C(=C1O)C)C	O=C1NCC2=C(O)C(O)=C(O)C=C12
9728	10	O=[CH0]([#6])[cH0]1:[cH1]:[#6](:[#6](:[cH1]:[cH0]1[#8]))	O=C(C)C=1C=CC=CC1O	O=C1COC2=CC=C(Cl)C=C12	OC1=CC=C(C(O)=C1)C(=O)C=2C=CC=CC2
9729	10	[NX3][CH0]([NX3]([cX3](a)[nX2]a))=[OH0]	O=C(NC)NC=1N=NNN1	CN1C(=O)N(C2=NC(N)=NC=C2C1)C	CC=1N=C(C=CC1C)N(C)C(=O)N
9730	9	[CX4][CX4][CX4][NH1][CX3]([CX4][CH3])	O=C(NCCC)C(N)C	O=C1NC(O)(CNC1C)C(C)C	CC(NC(=O)C(C)(C)C)C(C)C
9731	10	[#8][cH0]1:[cH0](:[cH0](:[cH1]:[cH0]([#6]):[cX3]1)O)[#6]	OC=1C=C(C)C=C(O)C1C	CC=1C=C(O)C(=C(O)C1N)C
9732	5	[CX4][SX4](=[OH0])=[OH0]	CS(=O)(=O)C	O=S(=O)(N)CC=1C=CC=CC1	O=S(=O)(C1=NC=NN1)C
9733	8	[#8]=[CH0]([cH0]1:[cH1]:[cH1]:[#6](:o1))[#7]	O=C(N)C=1OC=CC1	O=C(N)C=1OC(O)=CC1
9734	8	[cH1]1:[cH1]:[cH1]:[cH1]:[cH0](:[cH0]1[#7])[#7]	NC=1C=CC=CC1N	CN1N=C2C=CC=CC2=N1	N=1C=2C=CC=CC2NC1C=3OC=CC3
9735	12	[cH1]1[cH1][cX3](a)[cH0]([cX3]([nX3]a))[cH1][cX3]1	O=C1C=2C=CC=CC2N=CN1C	N1=C(NC2=C1C=3C=CC=CC3C=4C=CC=CC42)C=5SC=CC5	N=C1C=2C=C(Cl)C=CC2N=C(N)N1N
9736	20	[cX3](a)[cH0]([cX3]a)[OH0][CH1]1[CH1]([CH1]([CH1]([CH1]([OH0]1)[CH0](=[OH0])[OH1])[OH1])[OH1])[OH1]	CC=1C=CC=CC1OC2OC(C(=O)O)C(O)C(O)C2O	O=C(O)C1OC(OC2=CC=CC(=C)C2=C)C(O)C(O)C1O	O=C(O)C1OC(OC=2C(I)=CC(O)=CC2I)C(O)C(O)C1O
9737	4	[CH3][CH1]([#6])O	OC(C)C	C1OC1C
9738	11	[cX3]([cX3](a)[CH1]=[OH0])[cX3]([cH1][cX3]a)	O=CC1=CC=CC2=NSN=C21	O=CC=1C(=O)OC=2C=CC(Br)=CC2C1Cl	CC1=C(O)C(O)=C2C=CC=C(C2=C1C=O)C
9739	13	[cX3]([cX3](a))[cH0]([cX3]a)-[cH0]1[cH1][cH1][cX3]([cH1][cH1]1)	NC=1C=CC=CC1C=2C=CC=CC2	CC1=NC2=NNC=C2C(C=3C=CC(F)=CC3)=C1C4=CC=NC=C4	OC=1C=CC(=CC1)C2=COC(=C)C(=C)C2=O
9740	14	O=[CH0]([CH1]([CH2][#6])N)N1[CH2][CH2][CH2][CH1]1[CH0](=O)[#7]	NC(C(=O)N1CCCC1C(=O)N)CC	O=C(N)C1N(C(=O)C(N)CC2=CNC=3C=CC=CC32)CCC1	O=C(N)C1N(C(=O)C(N)CC2=CN=CN2)CCC1
9741	8	[CX4][CH2][CX4]([CH2][CX4]([CX4][NH2]))	CCCCCCCN	NC1CCCCC1N	CC1CC(C)CC(C)(C1)C(N)C
9742	8	O=[CH0](O[#6])[CH1]=[CH1][CH1]=[#6]	O=C(OC)C=CC=C
9743	6	O=[CH0]([CH2][#6])NO	O=C(NO)CC	O=C(NO)CC=1C=CC=CC1
9744	11	O=S([cH0]1:[cH1]:[cH1]:[cH0]([#7]):[cH1]:[cH1]1)(=O)N	NC1=CC=C(C=C1)S(=O)(=O)N
9745	9	[cH1]1[cH1][cH1][cH0]([cH1][cH1]1)[CX3](=[OH0])	O=C(C)C=1C=CC=CC1
9746	5	[CX4]([CH3])[SH0][CX4]	CCSCC	C1CC(SC1(C)C=2C=CC=CC2)(C)C	S1CCNC1C
9747	13	[CX4][CH2][CH1]([CX3])[NH1][CH0](=[OH0])[CX4]([CH2][CX4])	O=C(NC(C(=O)O)CCS)CCC	CC1(C)CN2C(=O)C(NC(=O)C2C1)CC(C)C	O=C(N)C(NC(=O)C1NCCC1)CC(C)C
9748	7	[#8]=S(N([#6])[#6])(=O)[#6]	CS(=O)(=O)N(C)C	O=S(=O)(C1=CC=CC=2C=NC=CC21)N(C)C	O=S(=O)(C=1SC=CC1)N(C)C
9749	10	[NX3]([CH2][CH2][NX3][cX3]([nX2]a)a)	N=1C=NC=2NCCNC2C1	CC=1N=C(OC1C)N(C)CCNC	SC=1N=C(N=C(C1N)C)N2CCN(C)CC2
9750	9	[CX4]([CX4]([CX4]([CX4][CX4]([NX3])))([CX4]))	CC1CCNCC1CO	CC(N(C)C)CC(C)C(CN)CC	N=1C=CC=C(C1)C2N3CCC(CC3)CC2
9751	8	O=[CH0]([CH1]=[#6])N([#6])[CH2][#6]	O=C1C=CCN1CC	C=CC(=O)N(C)CC	O=C(C=C)N(C)CC
9752	8	O[CH0]([CH1]([#6])O)([#6])[CH2][#6]	OC1CCCC1(O)C	OC(C)(CC)C(C)O	CC(O)C1(OC1)CC
9753	10	[OX2][cX3]([nH0][cH0]([nX2]a)[NX3])a	COC1=NC(=NC(F)=C1)N	N=1C=CN(C1)C2=CC=C(OC3=NC(=NC=C3C)N(C)C)C=C2	CNC=1N=C(O)N=C(N1)OC
9754	18	O[CH1]1[CH1]([CH1](n2:[cH1]:n:[cH0]3:[cH0]2:n:[cH1]:n:[cX3]3)O[CH1]1[CH2]O)O	OCC1OC(N2C=NC=3C=NC=NC32)C(O)C1O	O=C1NC=NC2=C1N=CN2C3OC(CO)C(O)C3O	N=C1C=2N=CN(C2N=CN1C)C3OC(CO)C(O)C3O
9755	7	[#6]N[CH2][CH2][CH2][CH2][#7]	CNCCCCN
9756	6	[CH3][CH2][CH0](=O)N[#6]	O=C(NC)CC	O=C(NC=1C=CC=CC1)CC
9757	6	O[CH1]([CH2]O[#6])[#6]	COCC(O)C	CC1OCOC1
9758	9	[#8][CH0]([#6])([CH1]([#6])[CH2][CH2][#6])[#6]	OC1(C)CCCCC1C	CC(O)(C=1C=CC=CC1)C(C)CCC	CC1(OC1)C(C)CCC
9759	14	[cX3]1[cH1][cH0]([cH1][cH0]([cX3]1)[OX2])[CX4]([CX4][CX4][CX4])	CCCCCC1=CC=C2OCOC2=C1	OC=1C=C(C=C(OC)C1O)C2CCCC(C)C2C	OC(C)CC(C)CC=1C=C(N)C=C(O)C1
9760	12	[#6]O[cH0]1:[cH1]:[#6](:[#6](:[cH0](:[cH0]1[CH0](=O)[#6])O))	O=C(C)C=1C(O)=CC=CC1OC	C=C1C(=C)C=C2OCCC(=O)C2=C1O	O=C1COC2=CC(O)=CC(OC)=C12
9761	8	[cH1]1:[cH1]:[cH1]:[cH1]:[#6]:[cH0]1[CH2][#6]	CCC=1C=CC=CC1	C1=CCC=2C=CC=CC12	NC=1C=CC=CC1CC
9762	6	[#6][CH1]([#6])N[CH2][#6]	CCNC(C)C	CC1NCCC1	N(CC)C1CC1
9763	6	[CH3][CH1]([CH2][#6])O[#6]	COC(C)CC	C1OC(C)CC1
9764	7	[#6][CH2][cH0](:[#7]):[#6]	CCC1=CN=CN1	O=C1NC(=S)NC2=C1CCC2	CC=1C(=NN2C1CCC2)C=3N=CC=CC3
9765	12	[cX3]([cX3](a)[CH0](=[OH0])[OH0][CH3])[cH0]([cX3]a)[OX2]	O=C(OC)C1=CC(O)=CC=C1N	O=C(OC)C1=C(O)C(=C)C(=C)C(OC)=C1C	COC1=C(O)C=C(O)C(C(=O)OC)=C1C
9766	11	[#8][cH0]1:[#6]:[cH0](:[cH0](:[cH0](:[cH0]1[#6])[#8])[#6])O	OC=1C=C(O)C(C)=C(O)C1C	CC1=C(O)C(C)=C(O)C=2C=COC12	CC=1C(O)=C(C)C(O)=C(C)C1O
9767	14	[CH3][CX4]([CH1]([CX4][OH0][CH0](=[OH0])[CH3])[OH0][CH0](=[OH0])[CH3])	O=C(OC1COC(C)C1OC(=O)C)C	O=C(OC(C(O)(C)C)C(C)(OC(=O)C)C)C	CC(OC(=O)C)C(OC(=O)C)C(C)C
9768	29	O=[CH0]([CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][#6])O[CH2][CH1]([CH2]OP(=O)(O)O[CH2][CH2]N)O	NCCOP(=O)(O)OCC(O)COC(=O)CCCCCCCCCCCCCC
9769	15	[CX4]([CX4][CX4][cX3](a)[cX3]([cH1][cH1][cX3]a))[CH3]	CC1(C=2NC=3C=CC=CC3C2CC1C)C	O=C1OC2=C(C=C1)C=CC(O)=C2CC(O)C(O)(C)C	CC1(CC=2C=CC3=CC(O)=CC=C3C2CC1)C
9770	11	[cX3]([cH1][cX3]([cX3]([cH1][cH1][cX3]a)a))a	NC=1C=CC=2C=CC=CC2C1	O1C(=CC=C1C=2SC(C)=CC2)C=3SC(C)=CC3	O=C1NC=CC2=C1NC=3C(Cl)=C(Cl)C=CC32
9771	5	[CX4]([CX3](=[OH0]))[NH2]	O=C(C)CN	O=C(O)C(C)N	O=C(N)C(C)(C)N
9772	14	[CX4][CH2][nH0]1[cX3]([cH0]([cX3](a)[cX3]1a)[CX3](=[OH0]))	O=CC1=CN(C=2C=CC(F)=CC12)CC	O=C(O)C=1C=2C=C(O)C(=C)C(=C)C2N(C1C)CCS	NCCN1C=C(C(=O)C2=CC=CC=3C=CC=CC32)C=4C=CC=CC41
9773	10	[CX4][CX4][OH0][CX4]([CX4][OH0][CH0](=[OH0])[CH3])	O=C(OCC(O)OCC)C	O=C(OC(C)(C)C1OC(C)(C)CC1)C	NC1OC(C)C(OC(=O)C)C1O
9774	9	[CX4][CH2][CH2][CX4]([CX4]([CH2][CH2][CX4]))	CCCCCCCCC	CC1C2CC23CCC(O)CC3CC1	OC(C)CCCCCCC(C)C
9775	11	O[CH1]([#6])[CH1]([#8])[cH0](:[#6]):[#6]	OC(C=1C=CC=CC1)C(C)O	CC=1C(C)=C(C)C2=C(C1O)COC(C)C2O	OC(C1=C(OC=C1C)C)C2CO2
9776	15	[#8]=[CH0]([#8])[CH1]([CH2][cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1)N[CH0](=O)[#6]	O=C(C)NC(C(=O)O)CC=1C=CC=CC1
9777	11	[CX4][cH0]1[cX3]([cH1][cX3]([cH0]([cX3]1)[CH1]=[CX3]))	CC1=CC=C(C=C1C=CC)C	OC1(CNC2=C3C=CCOC3=CC=C21)C	CC(S)=CC1=CC=CC(=C1)C(F)(F)F
9778	9	[CX4]([CX4]([CH1]([CH2][CX4])[OH1]))[CH3]	OC(CCC)CC(C)C	CC(C)(C)C1(F)CCC(C)(C)CC1O	NC1C(O)CC(O)OC1C
9779	13	[cX3]1[cX3]([cH1][cH1][cH0]([cH1]1)[CH2][CX4][CX4]([CH0]([OX2])=[OH0]))	O=C(O)C(N)CCC=1C=CC=CC1	OC1=CC=C(C=C1O)CC2COC(=O)C2(O)C	O=C(OC)C(C)(C)CCC=1C=CC=CC1
9780	12	[CX4]([CX4][CH3])[OH0][CX4][OH0][CX4][CH3]	OC(C)C(C)OC(OC(C)C)C	CC12OC(O)(OC1(C)C)CCC2(C)C	OC1OC(CCC1C)OC(O)(C)C
9781	10	[#6][CH1]([#6])N[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[#6]1	CC1CC=2C=CC=CC2N1	CC(NC=1C=CC=CC1N)C=2C=CN=CC2	CC(C)NC=1C=CC=CC1
9782	12	[CX4][CH2][NX3][cX3]([cX3]([cH1][cX3]([cX3]a)))a	N=1SC=2C=CC=CC2C1NCC	CC1=CC=2C=C(C)C3=C(C2OC1=O)CCCN3C	NCCN(C)C=1C=CC2=NON=C2C1N
9783	7	[#8][cH0]1:[cH1]:[cX3](:[cX3](:[cH1]:[cX3]1))	OC=1C=CC=CC1	NC=1C=C(O)C(O)=CC1C	OC1=CC=C(N)C=C1Cl
9784	10	[CX4][CH2][CH0](=[OH0])[NH1][CH2][CH2][CX4]	CCCCNC(=O)CCC	CC(O)(C)CC(=O)NCCCN	CCCC(=O)NCCCN1C=NC=C1
9785	12	O=[CH0](O[CH2][CH1]([CH1]([#6])O)[#8])[CH1]=[CH1][#6]	CC=CC(=O)OCC(O)C(C)O	O=C(OCC(O)C(C)O)C=CC=1C=CC=CC1
9786	11	[CH3][cH0]1[cH1][cX3](a)[cX3](a)[cH1][cH1]1	CC1=CC=2C=C(C=CC2N1)C	CN1C(=N)C(N)=NC=2C=CC(=CC21)C	CC=1OC2=CC(=CC=C2C(=O)C1O)C
9787	9	O=[CH0]([CH1]([CH2][CH2][#6])N)O[#6]	O=C(OC)C1NCCC1	O=C(OC)C(N)CCC=1C=CC=CC1	CCCC(N)C(=O)OC
9788	9	[NX3][CH0](=[OH0])[CX4]([CX4][OH0][CX4])	CNC(=O)CC(C)OC	CC1(O)C(=O)NC2CCOC21	O=C1N(O)C=CC1(C)C(OCC)C
9789	14	[cX3](a)[cX3](a)-[cH0]1[cH1][cH1][cH0]([cH1][cH1]1)[OX2]	COC=1C=CC(=CC1)C=2C=CC=CC2	C=C1C(=O)C=C(OC1=C)C=2C=CC(O)=CC2	SOC=1C=CC(=CC1)C2=NC=3C=NC=NC3N=C2N
9790	10	[CH3][CH0]([CH1]=[#6])([CH1]([#6])[#6])[CH0]([#6])=[#6]	C=CC(C(C)=C)(C)C(C)C
9791	15	[CH3][CH0](=[CH1][CH2][cX3]([cX3]([cX3]([cX3]([cX3](a)))))a)[CH3]	CC=1C=2C=CC=CC2NC1CC=C(C)C	C=C1C(=O)C(=COC1=C)C=2C=C(O)C(O)=C(C2)CC=C(C)C	CC1=C(C)C(=O)C2=C(O)C(=C(O)C(C)=C2N1C)CC=C(C)C
